ITEM_NUM,UCC,CONFIG,UOM,DESCR,REPACK,CONV_FACTOR,HEIGHT,WIDTH,LEN,MIN WGT,MAX WGT,TARE WGT
D2136AC,90027182028472,DAKOTA,CS,CAB BNLS RIBEYE LIPON LGT,MISC,1,9.3125,18.9375,23.8125,1,1681,3
D2136AC,90027182028472,DAKOTA,PAL,CAB BNLS RIBEYE LIPON LGT,,30,76,40,48,500,2700,0
D2144AC,90027182007187,IBP,CS,RIB EYE LIPON HVY SELECT,MISC,1,9.3125,18.9375,23.8125,67,96,3.2
D2144AC,90027182007187,IBP,PAL,RIB EYE LIPON HVY SELECT,,20,76,40,48,1340,1920,0
D2144AC,90027182007187,DAKOTA,CS,RIB EYE LIPON HVY SELECT,MISC,1,9.3125,18.9375,23.8125,1,100,3.2
D2144AC,90027182007187,DAKOTA,PAL,RIB EYE LIPON HVY SELECT,,25,76,40,48,880,2500,0
D2146AC,90027182009075,IBP,CS,CAB RIB EYE LIPON HVY,MISC,1,9.3125,18.9375,23.8125,5,3000,3.2
D2146AC,90027182009075,IBP,PAL,CAB RIB EYE LIPON HVY,,20,76,40,48,10,3000,0
D2146AC,90027182009075,DAKOTA,CS,CAB RIB EYE LIPON HVY,MISC,1,9.3125,15.9375,23.8125,1,3000,3.2
D2146AC,90027182009075,DAKOTA,PAL,CAB RIB EYE LIPON HVY,,30,76,40,48,1,3000,0
D2147AC,90027182003561,IBP,CS,RIB EYE LIPON HVY CHOICE,MISC,1,9.3125,18.9375,23.8125,10,888,3.1
D2147AC,90027182003561,IBP,PAL,RIB EYE LIPON HVY CHOICE,,20,76,40,48,1250,17760,0
D2147AC,90027182003561,DAKOTA,CS,RIB EYE LIPON HVY CHOICE,MISC,1,9.3125,18.9375,23.8125,10,888,3.2
D2147AC,90027182003561,DAKOTA,PAL,RIB EYE LIPON HVY CHOICE,,22,76,40,48,5,2178,0
D2149AC,90027182002083,IBP,CS,RIB EYE LIPON USDA PRIME,MISC,1,1.3125,1.9375,35.8125,55,214,3.1
D2149AC,90027182002083,IBP,PAL,RIB EYE LIPON USDA PRIME,,20,76,40,48,1100,1920,0
D2149AC,90027182002083,DAKOTA,CS,RIB EYE LIPON USDA PRIME,MISC,1,1.3125,1.9375,23.8125,1,214,1.2
D2149AC,90027182002083,DAKOTA,PAL,RIB EYE LIPON USDA PRIME,,22,76,40,48,1100,2178,0
D2163AC,90027182008726,IBP,CS,BNLS RIB EYE LIP-ON,MISC,1,9.3125,18.9375,23.8125,5,900,3
D2163AC,90027182008726,IBP,PAL,BNLS RIB EYE LIP-ON,,30,76,40,48,65,2850,0
D2163AC,90027182008726,DAKOTA,CS,BNLS RIB EYE LIP-ON,MISC,1,48,48,48,1,999,3.1
D2163AC,90027182008726,DAKOTA,PAL,BNLS RIB EYE LIP-ON,,30,76,40,48,100,2880,0
D2346AC,90027182009129,IBP,CS,CAB RIBEYE LIPON BI HVY,MISC,1,9.3125,18.9375,23.8125,20.4,99,3.3
D2346AC,90027182009129,IBP,PAL,CAB RIBEYE LIPON BI HVY,,20,76,40,48,1368,1660,0
D2346AC,90027182009129,DAKOTA,CS,CAB RIBEYE LIPON BI HVY,MISC,1,9.3125,18.9375,23.8125,20,99.5,3.3
D2346AC,90027182009129,DAKOTA,PAL,CAB RIBEYE LIPON BI HVY,,22,76,40,48,1408,1826,0
D2553AH,90027182008382,IBP,CS,BI BEEF BACK RIBS FO USDA,MISC,1,9.3125,15.8125,23.8125,7,3000,3.4
D2553AH,90027182008382,IBP,PAL,BI BEEF BACK RIBS FO USDA,,25,76,40,48,800,3000,0
D2553AH,90027182008382,DAKOTA,CS,BI BEEF BACK RIBS FO USDA,MISC,1,9.3125,15.8125,23.8125,7,90,3.4
D2553AH,90027182008382,DAKOTA,PAL,BI BEEF BACK RIBS FO USDA,,25,76,40,48,10,3000,0
