ITEM_NUM,UCC,CONFIG,UOM,DESCR,REPACK,CONV_FACTOR,HEIGHT,WIDTH,LEN,MIN WGT,MAX WGT,TARE WGT
10155A9Q,90027182557897,IBP,PAL,ANGUS EXTRA LEAN GB 96% 1#,,28,76,40,48,814.8,882,0
10165D8Q,90027182557958,IBP,CS,ANGUS ROUND 85% 2# CHILI,8OW,1,8.625,19.5,23.5,23.28,25.2,4
10165D8Q,90027182557958,IBP,PAL,ANGUS ROUND 85% 2# CHILI,,32,76,40,48,744.96,806.4,0
10831PAO,30027182555853,IBP,CS,BNLS BEEF TRIM 46% LEAN,MISC,1,5.25,19.25,23.25,60,60.5,2.3
10831PAO,30027182555853,IBP,PAL,BNLS BEEF TRIM 46% LEAN,,24,76,40,48,1440,1452,0
10831PEO,90027182555862,IBP,CS,BNLS BEEF TRIM 46% LEAN,MISC,1,42,39,47,1400,2300,20.2
10831PEO,90027182555862,IBP,PAL,BNLS BEEF TRIM 46% LEAN,,1,76,40,48,1400,2300,0
10861PAO,90027182564949,IBP,CS,BOX BNLS BF 75 NO SOLUTION,MISC,1,5.125,18.9375,23.625,60,60.5,2.5
10861PAO,90027182564949,IBP,PAL,BOX BNLS BF 75 NO SOLUTION,,24,76,40,48,1440,1452,0
10861PEO,90027182564956,IBP,CS,COMBOBEEF 75 NO SOLUTION,MISC,1,42.25,39,47,100,2500,25.5
10861PEO,90027182564956,IBP,PAL,COMBOBEEF 75 NO SOLUTION,,1,76,40,48,500,60000,60
11647HWE,30027182575059,IBP,CS,TSN BEEF ROAST KIT FOR 2,ABOE,1,9.4375,13,18,16.5,18.15,2.6
11647HWE,30027182575059,IBP,PAL,TSN BEEF ROAST KIT FOR 2,,49,76,40,48,808.5,889.35,0
12826N1U,90027182559020,IBP,CS,CAB BI BF RIBEYE TOMAHAWK,1OW,1,7.75,15.375,19.25,11.49,15.55,2.6
12826N1U,90027182559020,IBP,PAL,CAB BI BF RIBEYE TOMAHAWK,,48,76,40,48,551.52,746.4,0
16007M9U,90027182587030,IBP,CS,UNIV BNLS BEEF TOP ROUND,9OW,1,12.625,19.5,23.5,5.51,14.21,5.5
16007M9U,90027182587030,IBP,PAL,UNIV BNLS BEEF TOP ROUND,,40,76,40,48,420.4,568.4,0
16038I94,90027182552267,IBP,CS,MEMBERS MARK BNLS BF CUBED STK,9OW,1,12.625,19.5,23.5,9.15,36.43,4.8
16038I94,90027182552267,IBP,PAL,MEMBERS MARK BNLS BF CUBED STK,,24,76,40,48,675.6,874.32,0
16837M9U,90027182587061,IBP,CS,UNIV BNLS TOP RND EXTRA THIN,9OW,1,12.625,19.5,23.5,9.45,12.79,5.5
16837M9U,90027182587061,IBP,PAL,UNIV BNLS TOP RND EXTRA THIN,,24,76,40,48,226.8,306.96,0
1804194Q,90027182557804,IBP,CS,80% PATTY 4 OZ CATCH WT,4OW,1,9.875,11.1875,23.75,0.5,18.5,2.3
1804194Q,90027182557804,IBP,PAL,80% PATTY 4 OZ CATCH WT,,42,76,40,48,399,441,0
18135K8Q,90027182551994,IBP,CS,ANGUS SIRLOIN PATTY 1.33 C,8OW,1,8,19.5,23.5,14.4,17.4,3.8
18135K8Q,90027182551994,IBP,PAL,ANGUS SIRLOIN PATTY 1.33 C,,32,76,40,48,460.8,556.8,0
20001C1U,90027182569890,IBP,CS,PORK STEW MEAT JP 9% SOL,1OW,1,11.625,15.375,19.25,14.28,19.32,3.4
20001C1U,90027182569890,IBP,PAL,PORK STEW MEAT JP 9% SOL,,30,76,40,48,428.4,579.6,0
21001G8U,90027182569623,IBP,CS,UNIV SHOULDER BLADE STEAK,8OW,1,8.625,19.5,23.5,12.73,17.22,3.8
21001G8U,90027182569623,IBP,PAL,UNIV SHOULDER BLADE STEAK,,32,76,40,48,407.36,551.04,0
21001I8U,90027182569630,IBP,CS,UNIV BI PORK SHOULDER STEAK,8OW,1,8.625,19.5,23.5,23.24,31.44,4
21001I8U,90027182569630,IBP,PAL,UNIV BI PORK SHOULDER STEAK,,32,76,40,48,743.68,1006.08,0
21111M3U,90027182569654,IBP,CS,UNIV SHLDR CNTRY ST RIBS,3OW,1,11.125,15.375,23,24.19,32.72,4.3
21111M3U,90027182569654,IBP,PAL,UNIV SHLDR CNTRY ST RIBS,,30,76,40,48,725.7,981.6,0
21684HWE,30027182576933,IBP,CS,TSN PORK ROAST KIT W/VEG,ABOE,1,9.4375,13,18,12,17,2
21684HWE,30027182576933,IBP,PAL,TSN PORK ROAST KIT W/VEG,,49,76,40,48,588,833,0
24021D1U,90027182569661,IBP,CS,UNIV LOIN CC CHOP THK CUT,1OW,1,11.625,15.375,19.25,15.15,20.49,3.5
24021D1U,90027182569661,IBP,PAL,UNIV LOIN CC CHOP THK CUT,,36,76,40,48,545.4,737.64,0
24041E1U,90027182569678,IBP,CS,UNIV LOIN CC THIN CHOPS,1OW,1,11.625,15.375,19.25,11.92,16.12,3.4
24041E1U,90027182569678,IBP,PAL,UNIV LOIN CC THIN CHOPS,,36,76,40,48,429.12,580.32,0
24041I1U,90027182569685,IBP,CS,UNIV LOIN CC THIN CHOPS,10L,1,11.625,15.375,19.25,9.82,13.29,3.3
24041I1U,90027182569685,IBP,PAL,UNIV LOIN CC THIN CHOPS,,36,76,40,48,353.52,478.44,0
24061I1U,90027182549731,IBP,CS,UNIV BNLS LOIN CC CHOPS,1OW,1,11.625,15.375,19.25,10.61,14.35,3.3
24061I1U,90027182549731,IBP,PAL,UNIV BNLS LOIN CC CHOPS,,36,76,40,48,381.96,516.6,0
24061J2U,90027182569692,IBP,CS,UNIV BNLS LOIN CC CHOPS,2OW,1,13.625,12.9375,22.3125,13.9,18.81,3.9
24061J2U,90027182569692,IBP,PAL,UNIV BNLS LOIN CC CHOPS,,30,76,40,48,417,564.3,0
24081J2U,90027182569760,IBP,CS,UNIV BNLS CC CHOP THN CUT,2OW,1,13.625,12.9375,22.3125,14.97,20.25,3.9
24081J2U,90027182569760,IBP,PAL,UNIV BNLS CC CHOP THN CUT,,30,76,40,48,449.1,607.5,0
24091D1U,90027182569777,IBP,CS,UNIV BNLS SIRLOIN CHOPS,1OW,1,11.625,15.375,19.25,10.09,13.66,3.5
24091D1U,90027182569777,IBP,PAL,UNIV BNLS SIRLOIN CHOPS,,36,76,40,48,363.24,491.76,0
24091I1U,90027182549755,IBP,CS,UNIV BNLS SIRLOIN CHOPS,MISC,1,11.625,15.375,19.25,13.82,18.7,3.3
24091I1U,90027182549755,IBP,PAL,UNIV BNLS SIRLOIN CHOPS,,36,76,40,48,497.52,673.2,0
24141C3U,90027182569814,IBP,CS,UNIV LOIN CC CHOPS,3OW,1,11.125,15.375,23,13.63,18.44,4.1
24141C3U,90027182569814,IBP,PAL,UNIV LOIN CC CHOPS,,30,76,40,48,408.9,553.2,0
24141I1U,90027182569708,IBP,CS,UNIV LOIN CC CHOPS,1OW,1,11.625,15.375,19.25,16.52,22.36,3.3
24141I1U,90027182569708,IBP,PAL,UNIV LOIN CC CHOPS,,36,76,40,48,594.72,804.96,0
24211B1U,90027182569845,IBP,CS,UNIV BNLS PORK CUBED STK 12PK,10L,1,11.625,15.375,19.25,5.41,7.31,3.1
24211B1U,90027182569845,IBP,PAL,UNIV BNLS PORK CUBED STK 12PK,,36,76,40,48,194.76,263.16,0
24241J2U,90027182569715,IBP,CS,BNLS PORK LOIN CSR,2OW,1,13.625,12.9375,22.3125,16.16,21.86,3.4
24241J2U,90027182569715,IBP,PAL,BNLS PORK LOIN CSR,,30,76,40,48,484.8,655.8,0
24311H1U,90027182569869,IBP,CS,UNIV PK CHOP ASSORTED VP,1OW,1,11.625,15.375,19.25,12.99,17.57,3.1
24311H1U,90027182569869,IBP,PAL,UNIV PK CHOP ASSORTED VP,,36,76,40,48,467.64,632.52,0
24311I1U,90027182569876,IBP,CS,UNIV PRK CHOP ASSORTED,1OW,1,11.625,15.375,19.25,17.07,23.1,3.3
24311I1U,90027182569876,IBP,PAL,UNIV PRK CHOP ASSORTED,,36,76,40,48,614.52,831.6,0
60001CZP,90027182546198,IBP,CS,PORK STEW MEAT,6WAL,1,3.603,19.705,23.874,4,25.5,6.4
60001CZP,90027182546198,IBP,PAL,PORK STEW MEAT,,44,76,40,48,924,1122,0
60001DYR,90027182577901,IBP,CS,BNLS DICED PORK,4KR,1,4.7,19.705,23.874,6.38,8.63,5
60001DYR,90027182577901,IBP,PAL,BNLS DICED PORK,,32,76,40,48,204.16,276.16,0
60001LZR,90011110622603,IBP,CS,BNLS DICED PORK MT,6KR,1,6.703,19.705,23.874,8.5,11.5,5.8
60001LZR,90011110622603,IBP,PAL,BNLS DICED PORK MT,,24,76,40,48,204,276,0
60021CZP,90027182546204,IBP,CS,PORK CARNE PICADA,6WAL,1,6.703,19.705,23.875,10,16.38,5.8
60021CZP,90027182546204,IBP,PAL,PORK CARNE PICADA,,44,76,40,48,532.84,720.72,0
60601WYR,10011110632293,IBP,CS,61218/81402 PORK BI SPLIT FEET,4KR,1,4.7,19.705,23.874,10.2,13.8,4.8
60601WYR,10011110632293,IBP,PAL,61218/81402 PORK BI SPLIT FEET,,32,76,40,48,326.4,441.6,0
60621WYR,10011110632279,IBP,CS,61162 / 81096 PORK TAILS,4KR,1,4.7,19.705,23.874,6.38,8.63,4.8
60621WYR,10011110632279,IBP,PAL,61162 / 81096 PORK TAILS,,32,76,40,48,204.16,276.16,0
60669CZR,10011110632286,IBP,CS,BI SLICED PORK HOCKS,6KR,1,6.703,19.705,23.874,8.32,20.4,6
60669CZR,10011110632286,IBP,PAL,BI SLICED PORK HOCKS,,24,76,40,48,391.68,489.6,0
61001HZP,90027182546211,IBP,CS,BUTT STEAKS,6WAL,1,3.603,19.705,23.874,11.85,22.39,6.1
61001HZP,90027182546211,IBP,PAL,BUTT STEAKS,,44,76,40,48,565.4,765.16,0
61001ILP,90027182546235,IBP,CS,BUTT STEAKS LARGE,8WAL,1,8.92,19.705,23.874,1.3,28.76,6.7
61001ILP,90027182546235,IBP,PAL,BUTT STEAKS LARGE,,32,76,40,48,585.6,792.32,0
61011RZR,90053997016113,IBP,CS,BNLS PORK BUTT COUNTRY RIBS FP,6KR,1,6.703,19.705,23.874,9.99,17.52,5.7
61011RZR,90053997016113,IBP,PAL,BNLS PORK BUTT COUNTRY RIBS FP,,24,76,40,48,239.76,324.48,0
61101RYR,10011110638349,IBP,CS,BNLS PK SHOULDER COUNTRY RIBS,4KR,1,4.7,19.705,23.874,7.5,10.14,4.9
61101RYR,10011110638349,IBP,PAL,BNLS PK SHOULDER COUNTRY RIBS,,32,76,40,48,240,324.48,0
611113LP,90027182541612,IBP,CS,PK SHOULDER BUTT CNTRY RIBS,8WAL,1,8.92,19.71,23.87,16.59,22.45,6.4
611113LP,90027182541612,IBP,PAL,PK SHOULDER BUTT CNTRY RIBS,,32,76,40,48,530.88,718.4,0
61111DZR,00404048002239,IBP,CS,85739 PORK SHLDR BUTT CSR 12%,6KR,1,6.703,19.705,23.874,2.03,29.81,6.3
61111DZR,00404048002239,IBP,PAL,85739 PORK SHLDR BUTT CSR 12%,,24,76,40,48,528.72,715.44,0
61111MLP,90027182546297,IBP,CS,BUTT COUNTRY STYLE RIBS D,8WAL,1,8.92,19.71,23.87,18.29,24.75,6.3
61111MLP,90027182546297,IBP,PAL,BUTT COUNTRY STYLE RIBS D,,32,76,40,48,585.28,792,0
61761CZP,90027182546693,IBP,CS,PORK CARNITAS,6WAL,1,6.703,19.705,23.875,12.6,16.2,5.8
61761CZP,90027182546693,IBP,PAL,PORK CARNITAS,,44,76,40,48,554.4,712.8,0
62051HLP,90027182545894,IBP,CS,SPARERIBS SLICED 9PK,8WAL,1,8.92,19.71,23.87,20.95,31.05,6.5
62051HLP,90027182545894,IBP,PAL,SPARERIBS SLICED 9PK,,32,76,40,48,734.4,993.6,0
63627DYR,90011110645862,IBP,CS,FRESH PORK BELLY 6PK,4KR,1,4.7,19.705,23.874,8.93,12.08,5
63627DYR,90011110645862,IBP,PAL,FRESH PORK BELLY 6PK,,32,76,40,48,285.76,386.56,0
64021CZP,90027182541629,IBP,CS,PORK LOIN CC THICK CHOPS,6WAL,1,3.703,19.705,23.875,16.12,21.8,6
64021CZP,90027182541629,IBP,PAL,PORK LOIN CC THICK CHOPS,,44,76,40,48,709.28,959.2,0
64021DZP,90027182546501,IBP,CS,LOIN CC CHOPS THICK,6WAL,1,6.703,19.705,23.874,17.34,26.05,6.2
64021DZP,90027182546501,IBP,PAL,LOIN CC CHOPS THICK,,44,76,40,48,762.96,1146.2,0
64021ILP,90027182546860,IBP,CS,LOIN CC CHOPS THICK,8WAL,1,8.92,19.71,23.87,25.4,34.36,6.9
64021ILP,90027182546860,IBP,PAL,LOIN CC CHOPS THICK,,32,76,40,48,812.8,1099.52,0
640413ZP,90027182541636,IBP,CS,PORK LOIN CENTER CUT THIN CHOP,6WAL,1,3.703,19.705,23.875,13.87,20.77,6.3
640413ZP,90027182541636,IBP,PAL,PORK LOIN CENTER CUT THIN CHOP,,44,76,40,48,610.28,825.88,0
64041DYR,90027182578809,IBP,CS,BONE IN PK LOIN CC THIN 6PK,4KR,1,4.7,19.705,23.874,6.85,13.63,5
64041DYR,90027182578809,IBP,PAL,BONE IN PK LOIN CC THIN 6PK,,32,76,40,48,251.2,340.16,0
64041EZP,90027182546518,IBP,CS,PORK LOIN CENTER CUT TH,6WAL,1,6.703,19.705,23.875,13.63,18.44,6.1
64041EZP,90027182546518,IBP,PAL,PORK LOIN CENTER CUT TH,,44,76,40,48,599.72,811.36,0
64041HLP,90027182546976,IBP,CS,CENTER CUT THIN CHOPS LARGE,8WAL,1,8.92,19.71,23.87,15.17,25,6.5
64041HLP,90027182546976,IBP,PAL,CENTER CUT THIN CHOPS LARGE,,32,76,40,48,591.04,800,0
64041ILP,90027182546976,IBP,CS,**NTER CUT THIN CHOPS LARGE,8WAL,1,8.92,19.71,23.87,18.51,25.05,6.8
64041ILP,90027182546976,IBP,PAL,**NTER CUT THIN CHOPS LARGE,,32,76,40,48,592.32,801.6,0
64051HLP,90027182546877,IBP,CS,PORK RIB PIECES,8WAL,1,8.92,19.71,23.87,9.26,27.59,6.7
64051HLP,90027182546877,IBP,PAL,PORK RIB PIECES,,32,76,40,48,392.32,530.88,0
64051HZR,00404048062653,IBP,CS,80089/60315 RIB TIPS 12%,6KR,1,6.703,19.705,23.874,10.46,18.22,5.9
64051HZR,00404048062653,IBP,PAL,80089/60315 RIB TIPS 12%,,24,76,40,48,251.04,437.28,0
640613ZP,90027182541926,IBP,CS,BONELESS CHOPS LARGE 9PK,6WAL,1,3.603,19.705,23.875,14.69,20.87,6.3
640613ZP,90027182541926,IBP,PAL,BONELESS CHOPS LARGE 9PK,,44,76,40,48,646.36,874.28,0
64061GZP,90027182541988,IBP,CS,BONELESS CHOPS LARGE 9PK,6WAL,1,3.603,19.705,23.875,11.3,22,6.2
64061GZP,90027182541988,IBP,PAL,BONELESS CHOPS LARGE 9PK,,44,76,40,48,673.2,910.8,0
64061JZP,90027182541865,IBP,CS,BONELESS CHOPS 12PK,6WAL,1,3.603,19.705,23.874,10.13,20.76,6.4
64061JZP,90027182541865,IBP,PAL,BONELESS CHOPS 12PK,,44,76,40,48,577.72,781.44,0
64071JZP,90027182546419,IBP,CS,BUTTERFLY CHOPS,6WAL,1,3.603,19.705,23.874,3,23.98,6.3
64071JZP,90027182546419,IBP,PAL,BUTTERFLY CHOPS,,44,76,40,48,779.68,1055.12,0
640813ZP,90027182541919,IBP,CS,BONELESS CHOPS THIN LARGE 9PK,6WAL,1,6.703,19.705,23.875,16.22,21.94,6.3
640813ZP,90027182541919,IBP,PAL,BONELESS CHOPS THIN LARGE 9PK,,44,76,40,48,713.68,965.36,0
64081GZP,90027182541803,IBP,CS,BONELESS CHOPS THIN LARGE 9PK,6WAL,1,3.603,19.705,23.874,14.38,21.46,6.1
64081GZP,90027182541803,IBP,PAL,BONELESS CHOPS THIN LARGE 9PK,,44,76,40,48,632.72,856.24,0
64081JZP,90027182541858,IBP,CS,BONELESS THIN CHOPS 12PK,6WAL,1,3.603,19.705,23.874,12.46,23.63,6.4
64081JZP,90027182541858,IBP,PAL,BONELESS THIN CHOPS 12PK,,44,76,40,48,768.24,1039.72,0
64091DZP,90027182546549,IBP,CS,PORK SIRLOIN CHOPS,6WAL,1,6.703,19.705,23.875,17.44,23.6,6.2
64091DZP,90027182546549,IBP,PAL,PORK SIRLOIN CHOPS,,44,76,40,48,767.36,1038.4,0
64091HYR,90027182513053,IBP,CS,BNLS PK SIRLOIN CHOPS FAM 4PK,4KR,1,4.7,19.705,23.874,6.02,8.14,4.9
64091HYR,90027182513053,IBP,PAL,BNLS PK SIRLOIN CHOPS FAM 4PK,,32,76,40,48,192.64,260.48,0
64091NZR,00404048002284,IBP,CS,85749 PORK SIRLOIN CHOPS 12%,6KR,1,6.703,19.705,23.874,8.6,12.65,5.7
64091NZR,00404048002284,IBP,PAL,85749 PORK SIRLOIN CHOPS 12%,,24,76,40,48,206.4,303.6,0
641013LP,90027182547171,IBP,CS,LOIN COUNTRY STYLE RIBS 8PK,8WAL,1,8.92,19.71,23.87,16,25.85,6.5
641013LP,90027182547171,IBP,PAL,LOIN COUNTRY STYLE RIBS 8PK,,32,76,40,48,550,827.2,0
64101CZR,00404048002222,IBP,CS,85777 LN CNTRY ST RIBS D,6KR,1,6.703,19.705,23.874,8.64,11.8,5.7
64101CZR,00404048002222,IBP,PAL,85777 LN CNTRY ST RIBS D,,24,76,40,48,207.36,280.32,0
64111GZP,90027182541889,IBP,CS,BNLS PK LOIN RIBEYE CHOPS 9PK,6WAL,1,3.603,19.705,23.875,11.54,18.32,6
64111GZP,90027182541889,IBP,PAL,BNLS PK LOIN RIBEYE CHOPS 9PK,,44,76,40,48,595.76,806.08,0
64111JZP,90027182541902,IBP,CS,RIBEYE CHOPS D,6WAL,1,6.703,19.705,23.875,16.58,22.43,6.1
64111JZP,90027182541902,IBP,PAL,RIBEYE CHOPS D,,44,76,40,48,729.52,986.92,0
64111TZP,90027182546457,IBP,CS,RIBEYE CHOPS D,6WAL,1,3.603,19.705,23.874,10.03,29.81,6.4
64111TZP,90027182546457,IBP,PAL,RIBEYE CHOPS D,,44,76,40,48,969.32,1311.64,0
64121BZP,90027182546464,IBP,CS,BONELESS THICK CHOPS,6WAL,1,6.703,19.705,23.875,11.32,15.31,5.9
64121BZP,90027182546464,IBP,PAL,BONELESS THICK CHOPS,,44,76,40,48,498.08,673.64,0
64121CZP,90027182541643,IBP,CS,BONELESS PK LOIN CC THICK CHOP,6WAL,1,6.703,19.705,23.875,12.62,17.08,6.2
64121CZP,90027182541643,IBP,PAL,BONELESS PK LOIN CC THICK CHOP,,44,76,40,48,555.28,751.52,0
64121DYR,90027182578830,IBP,CS,BNLS PK LOIN CC THICK CHOP 6PK,4KR,1,4.7,19.705,23.874,9.74,13.75,5
64121DYR,90027182578830,IBP,PAL,BNLS PK LOIN CC THICK CHOP 6PK,,32,76,40,48,100,440,0
64121JZP,90027182541896,IBP,CS,BONELESS THICK CHOPS 12PK,6WAL,1,6.703,19.705,23.875,14.28,19.32,6
64121JZP,90027182541896,IBP,PAL,BONELESS THICK CHOPS 12PK,,44,76,40,48,628.32,850.08,0
641413ZP,90027182541650,IBP,CS,PORK LOIN CENTER CUT CHOPS,6WAL,1,3.703,19.705,23.874,20.81,28.15,6.3
641413ZP,90027182541650,IBP,PAL,PORK LOIN CENTER CUT CHOPS,,44,76,40,48,915.64,1238.6,0
64141CZP,90027182546570,IBP,CS,LOIN CENTER CUT CHOPS,6WAL,1,3.603,19.705,23.874,14,25.53,6.4
64141CZP,90027182546570,IBP,PAL,LOIN CENTER CUT CHOPS,,44,76,40,48,830.28,1123.32,0
64141DZP,90027182546594,IBP,CS,LOIN CENTER CUT CHOPS,6WAL,1,6.703,19.705,23.874,20.4,27.6,6.2
64141DZP,90027182546594,IBP,PAL,LOIN CENTER CUT CHOPS,,44,76,40,48,897.6,1214.4,0
64141DZR,00404048002208,IBP,CS,85772 LOIN CENTER CUT CHOPS,6KR,1,6.703,19.705,23.874,2.97,32.43,6.3
64141DZR,00404048002208,IBP,PAL,85772 LOIN CENTER CUT CHOPS,,24,76,40,48,287.28,778.32,0
64141HLP,90027182546617,IBP,CS,LOIN CENTER CUT CHOPS,8WAL,1,8.92,19.705,23.874,4.2,33.12,6.8
64141HLP,90027182546617,IBP,PAL,LOIN CENTER CUT CHOPS,,32,76,40,48,778.36,1059.84,0
64141HYR,90011110645695,IBP,CS,BI PK CHOP CENTER LN FAM 4PK,4KR,1,4.7,19.705,23.874,9.59,12.97,4.9
64141HYR,90011110645695,IBP,PAL,BI PK CHOP CENTER LN FAM 4PK,,32,76,40,48,306.88,415.04,0
64141NZR,00404048002192,IBP,CS,BNLS PK LN CTCT CHOP,6KR,1,6.703,19.705,23.874,12.89,17.43,5.8
64141NZR,00404048002192,IBP,PAL,BNLS PK LN CTCT CHOP,,24,76,40,48,309.36,418.32,0
64151HYR,90027182513077,IBP,CS,BI PORK SRLN END CHOPS FAM 4PK,4KR,1,4.7,19.705,23.874,12.75,17.25,4.9
64151HYR,90027182513077,IBP,PAL,BI PORK SRLN END CHOPS FAM 4PK,,32,76,40,48,408,552,0
64151NZR,00404048002352,IBP,CS,94121 BI SIRLOIN END CHOPS,6KR,1,6.703,19.705,23.874,10.47,14.17,5.8
64151NZR,00404048002352,IBP,PAL,94121 BI SIRLOIN END CHOPS,,24,76,40,48,251.28,340.08,0
64191ULP,90027182546631,IBP,CS,B/I PK AST CHOP,8WAL,1,8.92,19.71,23.87,26,36.02,6.8
64191ULP,90027182546631,IBP,PAL,B/I PK AST CHOP,,32,76,40,48,851.84,1152.64,0
64211JZP,90027182546341,IBP,CS,*** PORK CUBE STK,6WAL,1,3.603,19.705,23.874,2.84,27.73,6.6
64211JZP,90027182546341,IBP,PAL,*** PORK CUBE STK,,44,76,40,48,608.96,824.12,0
64211KZR,00404048002369,IBP,CS,83043 PORK CUBED STEAK,6KR,1,6.703,19.705,23.874,3.71,7.73,5.7
64211KZR,00404048002369,IBP,PAL,83043 PORK CUBED STEAK,,24,76,40,48,137.04,185.52,0
64241JZP,90027182546839,IBP,CS,BONELESS PORK CSR D,6WAL,1,3.603,19.705,23.874,6,22.08,6.1
64241JZP,90027182546839,IBP,PAL,BONELESS PORK CSR D,,44,76,40,48,718.08,971.52,0
64311HLP,90027182546655,IBP,CS,BI ASSORTED PORK CHP,8WAL,1,8.92,19.71,23.87,18.77,28,6.5
64311HLP,90027182546655,IBP,PAL,BI ASSORTED PORK CHP,,32,76,40,48,600.64,896,0
64311ILP,90027182546679,IBP,CS,BI ASSORTED PORK CHP,8WAL,1,8.92,19.705,23.874,6.2,29.26,6.7
64311ILP,90027182546679,IBP,PAL,BI ASSORTED PORK CHP,,32,76,40,48,688.84,936.32,0
64351HLP,90027182533426,IBP,CS,ASSORTED THIN,8WAL,1,8.92,19.71,23.87,16.66,27.95,6.7
64351HLP,90027182533426,IBP,PAL,ASSORTED THIN,,32,76,40,48,661.12,894.4,0
64451DZR,00404048002307,IBP,CS,83042 B/I PK LN CTRY RIB D,6KR,1,6.703,19.705,23.874,12.72,17.2,5.8
64451DZR,00404048002307,IBP,PAL,83042 B/I PK LN CTRY RIB D,,24,76,40,48,305.28,412.8,0
64451NZR,00404048002314,IBP,CS,83041 LN CNTRY ST RIBS D,6KR,1,6.703,19.705,23.874,14.21,20.9,5.7
64451NZR,00404048002314,IBP,PAL,83041 LN CNTRY ST RIBS D,,24,76,40,48,341.04,501.6,0
64451RYR,90011110633531,IBP,CS,BI PK LOIN COUNTRY STYLE RIBS,4KR,1,4.7,19.705,23.874,5,20,4.9
64451RYR,90011110633531,IBP,PAL,BI PK LOIN COUNTRY STYLE RIBS,,32,76,40,48,321.28,520,0
64491CZP,90027182541810,IBP,CS,SIRLOIN BLS CHOP,6WAL,1,3.603,19.705,23.875,10,17.59,5.9
64491CZP,90027182541810,IBP,PAL,SIRLOIN BLS CHOP,,44,76,40,48,440,641.96,0
64951HYR,90011110645701,IBP,CS,BI PORK LOIN CC THIN CHOPS 4PK,4KR,1,4.7,19.705,23.874,4.59,8.75,4.9
64951HYR,90011110645701,IBP,PAL,BI PORK LOIN CC THIN CHOPS 4PK,,32,76,40,48,146.88,216,0
64971DYR,90027182578878,IBP,CS,BONE IN PK CENTER LN/RIB CHOPS,4KR,1,4.7,19.705,23.874,9.85,17.39,5
64971DYR,90027182578878,IBP,PAL,BONE IN PK CENTER LN/RIB CHOPS,,32,76,40,48,411.2,556.48,0
64971NZR,00404048002345,IBP,CS,94127 LOIN CENTER CUT CHOPS,6KR,1,6.703,19.705,23.874,12.89,17.43,5.8
64971NZR,00404048002345,IBP,PAL,94127 LOIN CENTER CUT CHOPS,,24,76,40,48,309.36,418.32,0
69019ULP,90027182546358,IBP,CS,NECKBONES LARGE,8WAL,1,8.92,19.71,23.87,16.13,25.88,6.5
69019ULP,90027182546358,IBP,PAL,NECKBONES LARGE,,32,76,40,48,612.16,828.16,0
69029CYP,90027182541667,IBP,CS,PORK SLICED BELLY,4WAL,1,4.7,19.705,23.874,0.85,10.63,4.9
69029CYP,90027182541667,IBP,PAL,PORK SLICED BELLY,,64,76,40,48,502.4,680.32,0
69029DYP,90027182546372,IBP,CS,PORK BELLY,MISC,1,4.7,19.705,23.874,8.87,12.01,5
69029DYP,90027182546372,IBP,PAL,PORK BELLY,,64,76,40,48,567.68,768.64,0
69041DYR,90011110637362,IBP,CS,61019 / 81046 PORK NECK BONES,4KR,1,4.7,19.705,23.874,7.65,11.6,4.9
69041DYR,90011110637362,IBP,PAL,61019 / 81046 PORK NECK BONES,,32,76,40,48,244.8,331.2,0
69041HYR,90027182513091,IBP,CS,PORK NECK BONES FAMILY 4PK,4KR,1,4.7,19.705,23.874,10.03,13.57,4.9
69041HYR,90027182513091,IBP,PAL,PORK NECK BONES FAMILY 4PK,,32,76,40,48,320.96,434.24,0
69041NZR,90027182531088,IBP,CS,***82 PK NCK BONE FMPK,6KR,1,6.703,19.705,23.874,11.9,17.5,5.7
69041NZR,90027182531088,IBP,PAL,***82 PK NCK BONE FMPK,,24,76,40,48,285.6,420,0
70003CYP,90027182548048,IBP,CS,BEEF FOR STEWING,4WAL,1,4.953,19.705,23.874,3,9.12,5
70003CYP,90027182548048,IBP,PAL,BEEF FOR STEWING,,64,76,40,48,384,583.68,0
70003HYP,90027182548055,IBP,CS,STEW MEAT FAMILY PACK,4WAL,1,4.953,19.705,23.874,5,12.04,5
70003HYP,90027182548055,IBP,PAL,STEW MEAT FAMILY PACK,,64,76,40,48,640,770.56,0
70023CYP,90027182548079,IBP,CS,BEEF FOR STEWING LEAN,4WAL,1,4.953,19.705,23.874,6,9.06,5
70023CYP,90027182548079,IBP,PAL,BEEF FOR STEWING LEAN,,64,76,40,48,384,579.84,0
70041CYR,00404048007098,IBP,CS,20117 BNLS BF STEW,4KR,1,4.953,19.705,23.874,7,11.91,5.2
70041CYR,00404048007098,IBP,PAL,20117 BNLS BF STEW,,32,76,40,48,269.76,365.12,0
70041RYR,90011110634842,IBP,CS,BNLS BF FOR STEW LARGE 4PK,4KR,1,4.7,19.705,23.874,7.65,10.35,4.9
70041RYR,90011110634842,IBP,PAL,BNLS BF FOR STEW LARGE 4PK,,32,76,40,48,244.8,331.2,0
70042CYR,90027182532603,IBP,CS,TEX ANGUS NR BNLS BF STEW 6PK,4KR,1,4.7,19.705,23.874,6.38,11.25,5
70042CYR,90027182532603,IBP,PAL,TEX ANGUS NR BNLS BF STEW 6PK,,32,76,40,48,204.16,360,0
